"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",16479,0,3200,4121,28,10206,256,69.86
"None","Total",16479,0,3200,4121,28,10206,256,69.86
