"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",15098,2900,3100,3300,3600,7800,8800,9000,9100,10000
"Total",15098,2900,3100,3300,3600,7800,8800,9000,9100,10000
