"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",17833,0,3600,4495,27,10226,256,74.63
"None","Total",17833,0,3600,4495,27,10226,256,74.63
