"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",3260,0,2300,2222,13,2894,256,42.98
"None","Total",3260,0,2300,2222,13,2894,256,42.98
