"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",3752,0,6400,6466,11,10364,253,65.63
"None","Total",3752,0,6400,6466,11,10364,253,65.63
