"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",3778,11000,11000,12000,18000,19000,20000,20000,20000,21000
"Total",3778,11000,11000,12000,18000,19000,20000,20000,20000,21000
