"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",3631,0,3700,3753,10,5162,257,63.61
"None","Total",3631,0,3700,3753,10,5162,257,63.61
