"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",17612,9800,10000,10000,10000,12000,14000,14000,15000,130000
"Total",17612,9800,10000,10000,10000,12000,14000,14000,15000,130000
