"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",2542,2542,22,22,20,61,0,42.53
"None","Total",2542,2542,22,22,20,61,0,42.53
