"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",25141,0,4600,4524,34,8227,257,104.83
"None","Total",25141,0,4600,4524,34,8227,257,104.83
