"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",19542,3000,3000,3100,3100,3200,3300,3400,3400,10000
"Total",19542,3000,3000,3100,3100,3200,3300,3400,3400,10000
