"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",25824,0,5700,5683,30,10078,257,108.31
"None","Total",25824,0,5700,5683,30,10078,257,108.31
