"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",24642,3700,3800,3900,3900,4100,4300,4400,4500,10000
"Total",24642,3700,3800,3900,3900,4100,4300,4400,4500,10000
