"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",15024,2400,2400,2500,2500,2500,2500,2600,2600,10000
"Total",15024,2400,2400,2500,2500,2500,2500,2600,2600,10000
