"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",19986,2900,3000,3000,3100,3100,3200,3200,3200,7600
"Total",19986,2900,3000,3000,3100,3100,3200,3200,3200,7600
