"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",18512,5500,5700,5900,6000,6400,6700,8100,9600,10000
"Total",18512,5500,5700,5900,6000,6400,6700,8100,9600,10000
