"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",113327,5456,160,436,19,144614,189,374.09
"None","Total",113327,5456,160,436,19,144614,189,374.09
