"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",19400,6000,6300,6400,6600,7200,7700,8100,8500,10000
"Total",19400,6000,6300,6400,6600,7200,7700,8100,8500,10000
