"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",112787,4998,160,414,17,94862,190,373.23
"None","Total",112787,4998,160,414,17,94862,190,373.23
