"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",23361,0,3500,3422,25,10091,257,98.10
"None","Total",23361,0,3500,3422,25,10091,257,98.10
