"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",18337,3200,3200,3300,3300,3400,3400,3500,4200,4400
"Total",18337,3200,3200,3300,3300,3400,3400,3500,4200,4400
