"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",10639,2300,2300,2300,2300,2400,2400,2500,2500,2700
"Total",10639,2300,2300,2300,2300,2400,2400,2500,2500,2700
