"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",23556,0,5800,5728,22,8020,257,98.97
"None","Total",23556,0,5800,5728,22,8020,257,98.97
