"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",20741,0,3900,3828,24,9822,257,87.41
"None","Total",20741,0,3900,3828,24,9822,257,87.41
