"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",4238,2100,2200,2200,2200,2300,2300,2400,2400,3100
"Total",4238,2100,2200,2200,2200,2300,2300,2400,2400,3100
