"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",14842,0,5200,5170,342,7511,257,82.43
"None","Total",14842,0,5200,5170,342,7511,257,82.43
