"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",14212,6400,6600,6700,6800,7500,8400,8900,9000,12000
"Total",14212,6400,6600,6700,6800,7500,8400,8900,9000,12000
