"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",1157,0,11000,9562,378,12040,237,59.75
"None","Total",1157,0,11000,9562,378,12040,237,59.75
