"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",5141,1800,1800,1800,1800,1900,1900,1900,2000,2100
"Total",5141,1800,1800,1800,1800,1900,1900,1900,2000,2100
