"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",71299,1600,1700,1800,1800,1900,2100,2200,2300,2500
"Total",71299,1600,1700,1800,1800,1900,2100,2200,2300,2500
