"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",25860,0,1700,1657,1103,2051,232,143.99
"None","Total",25860,0,1700,1657,1103,2051,232,143.99
