"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",20303,0,1700,1692,807,2018,231,112.98
"None","Total",20303,0,1700,1692,807,2018,231,112.98
