"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",45859,0,1600,1610,844,2220,232,256.62
"None","Total",45859,0,1600,1610,844,2220,232,256.62
