"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",15370,1700,1700,1800,1800,1800,1900,1900,2000,2000
"Total",15370,1700,1700,1800,1800,1800,1900,1900,2000,2000
