"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",63988,1600,1700,1700,1800,1800,1900,2100,2100,2300
"Total",63988,1600,1700,1700,1800,1800,1900,2100,2100,2300
