"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",100011,1700,1800,1900,2000,2100,2300,2400,2500,3700
"Total",100011,1700,1800,1900,2000,2100,2300,2400,2500,3700
