"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",23834,0,6800,7027,15,11470,254,80.31
"None","Total",23834,0,6800,7027,15,11470,254,80.31
