"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",25145,4800,5000,5300,5500,6400,6800,9100,9600,10000
"Total",25145,4800,5000,5300,5500,6400,6800,9100,9600,10000
