"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",6202,0,1900,1928,25,2647,256,25.89
"None","Total",6202,0,1900,1928,25,2647,256,25.89
