"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",11536,0,2100,2057,30,2412,256,48.14
"None","Total",11536,0,2100,2057,30,2412,256,48.14
