"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",6202,1900,2000,2000,2000,2000,2100,2100,2100,2600
"Total",6202,1900,2000,2000,2000,2000,2100,2100,2100,2600
