"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",18318,2600,2600,2700,2700,2700,2800,2900,2900,6600
"Total",18318,2600,2600,2700,2700,2700,2800,2900,2900,6600
