"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",234,0,1000,1022,890,1286,256,0.98
"None","Total",234,0,1000,1022,890,1286,256,0.98
