"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",19448,0,6200,6378,23,10538,255,81.18
"None","Total",19448,0,6200,6378,23,10538,255,81.18
