"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",15350,0,2300,2295,22,7389,256,64.33
"None","Total",15350,0,2300,2295,22,7389,256,64.33
