"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",21993,0,4100,4168,42,7051,257,92.32
"None","Total",21993,0,4100,4168,42,7051,257,92.32
