"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /",17663,7900,8900,9700,10000,10000,10000,11000,11000,11000
"Total",17663,7900,8900,9700,10000,10000,10000,11000,11000,11000
