"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",20159,0,5800,5654,23,10174,257,84.55
"None","Total",20159,0,5800,5654,23,10174,257,84.55
