"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",7499,0,2000,1979,10,2691,256,25.24
"None","Total",7499,0,2000,1979,10,2691,256,25.24
