"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/",23998,0,5200,5264,13,10278,256,81.15
"None","Total",23998,0,5200,5264,13,10278,256,81.15
